ID	Transcript number	PERSON	NUMBER	PERSON.NUMBER	ANIMACY	REFLEXIVITY	VOICE
205	TOR_C_00024_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
206	TOR_C_00024_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
207	TOR_C_0008_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
208	TOR_C_0079_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
209	TOR_C_0007_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
210	TOR_C_00030_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
211	TOR_C_0054_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
212	TOR_C_0070_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
213	TOR_C_0048_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
214	TOR_C_00010_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
215	TOR_C_00010_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
216	TOR_C_0001_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
217	TOR_C_00013_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
218	TOR_C_00010_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
219	TOR_C_0041_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
220	TOR_C_0079_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
221	TOR_C_00010_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
222	TOR_C_0093_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
223	TOR_C_0082_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
224	TOR_C_0056_tagged.txt	1	PL	1PL	ANIMATE	REFL	ACTIVE
225	TOR_C_0046_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
226	TOR_C_00032_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
227	TOR_C_00024_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
228	TOR_C_0003_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
229	TOR_C_0007_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
230	TOR_C_0037_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
231	TOR_C_0041_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
232	TOR_C_0070_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
233	TOR_C_0073_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
234	TOR_C_0082_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
235	TOR_C_0089_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
236	TOR_C_0067_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
237	TOR_C_00011_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
238	TOR_C_00013_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
239	TOR_C_00029_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
240	TOR_C_0046_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
241	TOR_C_0049_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
242	TOR_C_0049_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
243	TOR_C_0055_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
244	TOR_C_0060_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
245	TOR_C_0070_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
246	TOR_C_0089_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
247	TOR_C_0046_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
248	TOR_C_00032_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
249	TOR_C_00024_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
250	TOR_C_0037_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
251	TOR_C_0089_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
252	TOR_C_00033_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
253	TOR_C_00024_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
254	TOR_C_0040_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
255	TOR_C_0050_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
256	TOR_C_0001_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
257	TOR_C_0040_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
258	TOR_C_0086_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
259	TOR_C_0040_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
260	TOR_C_00016_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
261	TOR_C_00019_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
262	TOR_C_0090_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
263	TOR_C_0041_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
264	TOR_C_00033_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
265	TOR_C_0041_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
266	TOR_C_0050_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
267	TOR_C_0037_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
268	TOR_C_0045_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
269	TOR_C_0079_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
270	TOR_C_00019_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
271	TOR_C_0046_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
272	TOR_C_0071_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
273	TOR_C_0086_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
274	TOR_C_0048_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
275	TOR_C_0050_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
276	TOR_C_00010_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
277	TOR_C_00033_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
278	TOR_C_00034_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
279	TOR_C_0038_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
280	TOR_C_0042_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
281	TOR_C_0042_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
282	TOR_C_0047_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
283	TOR_C_0047_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
284	TOR_C_0067_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
285	TOR_C_0067_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
286	TOR_C_0089_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
287	TOR_C_0089_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
288	TOR_C_00023_tagged.txt	1	SG	1SG	ANIMATE	NON-REFL	ACTIVE
