ID	File	Case	Function	NounType	Gender	Number	Animacy	ReferenceToPersons
616	TOR_C_0061_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
618	TOR_C_00013_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
620	TOR_C_00023_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
622	TOR_C_0083_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
624	TOR_C_0086_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
643	TOR_C_0076_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
644	TOR_C_0069_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
645	TOR_C_0041_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
646	TOR_C_00020_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
647	TOR_C_00020_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
648	TOR_C_0074_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
649	TOR_C_0064_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
650	TOR_C_0071_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
665	TOR_C_0053_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
666	TOR_C_0006_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
681	TOR_C_0006_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
683	TOR_C_0073_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
710	TOR_C_0003_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
714	TOR_C_00020_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
733	TOR_C_0089_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
735	TOR_C_0074_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
756	TOR_C_0069_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
758	TOR_C_0037_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
582	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
20	TOR_C_0045_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
30	TOR_C_0045_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
33	TOR_C_0064_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
40	TOR_C_00034_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
95	TOR_C_0045_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
122	TOR_C_0082_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
131	TOR_C_0089_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
132	TOR_C_0089_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
133	TOR_C_0089_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
134	TOR_C_0037_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
135	TOR_C_0062_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
145	TOR_C_00033_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
151	TOR_C_0046_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
180	TOR_C_00020_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
211	TOR_C_0080_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
214	TOR_C_0073_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
217	TOR_C_0045_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
218	TOR_C_0041_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
220	TOR_C_0002_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
221	TOR_C_0002_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
332	TOR_C_0037_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
